model,accuracy,precision,recall,f1,loss
CNN,0.875,0.9411764705882353,0.8,0.8648648648648649,0.3250077307224274
BiLSTM,0.925,1.0,0.85,0.918918918918919,0.27017260193824766
MLP,0.9,0.9444444444444444,0.85,0.8947368421052632,0.40857409238815307
Attention,0.725,0.8,0.6,0.6857142857142857,0.5729631781578064
