model,accuracy,precision,recall,f1,loss
CNN,0.8509485094850948,0.8473684210526315,0.8609625668449198,0.8541114058355438,0.31950062804105805
BiLSTM,0.8401084010840109,0.8595505617977528,0.8181818181818182,0.8383561643835616,0.3410646221259745
MLP,0.8590785907859079,0.8648648648648649,0.8556149732620321,0.8602150537634409,0.300257372379626
Attention,0.8157181571815718,0.8439306358381503,0.7807486631016043,0.8111111111111111,0.41738210436774464
