model,accuracy,precision,recall,f1,loss
CNN,0.8455284552845529,0.8494623655913979,0.8449197860962567,0.8471849865951743,0.32515030206865086
BiLSTM,0.8130081300813008,0.8641975308641975,0.7486631016042781,0.8022922636103151,0.39854993560126806
MLP,0.8536585365853658,0.8982035928143712,0.8021390374331551,0.847457627118644,0.3101353018587521
Attention,0.8455284552845529,0.8611111111111112,0.8288770053475936,0.8446866485013624,0.35489835571951983
