model,accuracy,precision,recall,f1,loss
CNN,0.8401084010840109,0.8440860215053764,0.839572192513369,0.8418230563002681,0.3250187232403897
BiLSTM,0.8346883468834688,0.8579545454545454,0.8074866310160428,0.8319559228650137,0.35523305514317544
MLP,0.8482384823848238,0.8922155688622755,0.7967914438502673,0.8418079096045198,0.3281206295984547
Attention,0.8428184281842819,0.837696335078534,0.8556149732620321,0.8465608465608465,0.3739783322100394
