model,accuracy,precision,recall,f1,loss
CNN,0.8401084010840109,0.8855421686746988,0.786096256684492,0.8328611898016998,0.3532210450144964
BiLSTM,0.8401084010840109,0.867816091954023,0.8074866310160428,0.8365650969529086,0.36132192450164136
MLP,0.8536585365853658,0.893491124260355,0.8074866310160428,0.848314606741573,0.3217926351277809
Attention,0.8292682926829268,0.8604651162790697,0.7914438502673797,0.8245125348189415,0.3920682496656247
