model,accuracy,precision,recall,f1,loss
CNN,0.8401084010840109,0.8516483516483516,0.8288770053475936,0.8401084010840109,0.32236176995727106
BiLSTM,0.8373983739837398,0.8359788359788359,0.8449197860962567,0.8404255319148937,0.3533771178586696
MLP,0.8563685636856369,0.8641304347826086,0.8502673796791443,0.8571428571428571,0.3050310165497669
Attention,0.8319783197831978,0.8453038674033149,0.8181818181818182,0.8315217391304348,0.40315114837997973
