model,accuracy,precision,recall,f1,loss
CNN,0.8373983739837398,0.8757396449704142,0.7914438502673797,0.8314606741573034,0.33912582707598926
BiLSTM,0.8401084010840109,0.8555555555555555,0.8235294117647058,0.8392370572207084,0.3504540938025891
MLP,0.8563685636856369,0.8941176470588236,0.8128342245989305,0.8515406162464986,0.319675018632315
Attention,0.8401084010840109,0.8516483516483516,0.8288770053475936,0.8401084010840109,0.3951507133197009
