model,accuracy,precision,recall,f1,loss
CNN,0.8455284552845529,0.8823529411764706,0.8021390374331551,0.8403361344537815,0.3490895309906988
BiLSTM,0.8265582655826558,0.8186528497409327,0.8449197860962567,0.8315789473684211,0.3556363469539942
MLP,0.8563685636856369,0.8641304347826086,0.8502673796791443,0.8571428571428571,0.3113413287533654
Attention,0.8211382113821138,0.8457142857142858,0.7914438502673797,0.8176795580110497,0.3882478160990609
