model,accuracy,precision,recall,f1,loss
CNN,0.9,0.9444444444444444,0.85,0.8947368421052632,0.30643636733293533
BiLSTM,0.925,1.0,0.85,0.918918918918919,0.2832625210285187
MLP,0.875,0.9411764705882353,0.8,0.8648648648648649,0.40933138132095337
Attention,0.925,0.9473684210526315,0.9,0.9230769230769231,0.44524085521698
